sentiment_class,avg_pnl,median_pnl,avg_win_rate,avg_volume,num_days
Extreme Fear,52793.589177857146,22561.7396365,0.32734082697603883,8177447.245714285,14
Extreme Greed,23817.292198885963,3127.5362965000004,0.4674238865175576,1091799.6892105262,114
Fear,36891.81804002198,1412.314654,0.3291124444268537,5311261.426263737,91
Greed,11140.566181093263,678.4759280000001,0.335985537160085,1495246.0866321241,193
Neutral,19297.323515671644,1818.573295,0.33188630490067184,2690180.045970149,67
