date,total_volume_usd,num_trades,total_pnl,win_rate,avg_pnl_per_trade,sentiment_value,sentiment_class
2023-05-01,477.0,3,0.0,0.0,0.0,63.0,Greed
2023-12-05,50005.83,9,0.0,0.0,0.0,75.0,Extreme Greed
2023-12-14,113203.35,11,-205.43473700000007,0.36363636363636365,-18.675885181818188,72.0,Greed
2023-12-15,10609.95,2,-24.632033999999997,0.0,-12.316016999999999,70.0,Greed
2023-12-16,15348.77,3,0.0,0.0,0.0,67.0,Greed
2023-12-17,116278.02,14,304.982785,0.5,21.78448464285714,73.0,Greed
2023-12-18,31164.179999999997,2,0.0,0.0,0.0,65.0,Greed
2023-12-19,91602.41,15,1000.5386120000001,0.6666666666666666,66.70257413333334,73.0,Greed
2023-12-20,141636.79,18,162.732282,0.4444444444444444,9.040682333333333,74.0,Greed
2023-12-21,125233.97,49,537.211402,0.5306122448979592,10.963498000000001,70.0,Greed
2023-12-22,88874.28,10,141.832675,0.2,14.1832675,74.0,Greed
2023-12-23,78438.25,13,146.936704,0.6153846153846154,11.302823384615383,70.0,Greed
2023-12-24,402954.94,39,1008.619956,0.38461538461538464,25.862050153846155,71.0,Greed
2023-12-25,59948.51,3,-245.081348,0.0,-81.69378266666666,73.0,Greed
2023-12-27,171411.06,28,-704.8892269999999,0.14285714285714285,-25.174615249999995,73.0,Greed
2023-12-28,100117.25,23,-970.730876,0.0,-42.20569026086957,73.0,Greed
2023-12-29,569559.72,50,508.92214299999995,0.3,10.178442859999999,65.0,Greed
2023-12-30,702550.21,52,354.998648,0.4423076923076923,6.826897076923077,68.0,Greed
2024-01-01,264239.52999999997,18,-129.53146,0.05555555555555555,-7.196192222222223,65.0,Greed
2024-01-02,121348.74,17,783.979116,0.47058823529411764,46.11641858823529,71.0,Greed
2024-01-03,394499.36,67,866.015507,0.417910447761194,12.925604582089552,70.0,Greed
2024-01-04,99792.54000000001,5,-67.60364,0.0,-13.520728,68.0,Greed
2024-01-05,1703942.66,66,164.141565,0.19696969696969696,2.486993409090909,72.0,Greed
2024-01-06,298521.4,22,135.58166400000002,0.45454545454545453,6.16280290909091,70.0,Greed
2024-01-07,1048850.06,97,-835.681235,0.09278350515463918,-8.615270463917525,71.0,Greed
2024-01-08,1522452.43,128,-269.874439,0.25,-2.1083940546875,71.0,Greed
2024-01-09,870051.97,70,-826.349863,0.2571428571428571,-11.804998042857143,76.0,Extreme Greed
2024-01-10,2057479.48,193,-1517.091342,0.21243523316062177,-7.860576901554404,73.0,Greed
2024-01-11,305314.1,21,-164.08950099999998,0.23809523809523808,-7.813785761904761,76.0,Extreme Greed
2024-01-12,200082.27,7,-1925.519024,0.0,-275.0741462857143,71.0,Greed
2024-01-15,50636.1,14,152.85358,0.6428571428571429,10.918112857142857,52.0,Neutral
2024-01-16,116427.33,9,-2299.171458,0.3333333333333333,-255.4634953333333,64.0,Greed
2024-01-17,800831.03,53,813.2741110000001,0.20754716981132076,15.344794547169812,60.0,Greed
2024-01-18,424631.52999999997,46,68.93319,0.06521739130434782,1.4985476086956522,63.0,Greed
2024-01-19,428428.97,48,-385.419235,0.125,-8.029567395833334,51.0,Neutral
2024-01-20,1070090.51,106,-146.57487000000003,0.14150943396226415,-1.3827817924528305,52.0,Neutral
2024-01-21,103129.74,11,266.58114600000005,0.2727272727272727,24.234649636363642,56.0,Greed
2024-01-22,337878.99,85,1375.640959,0.27058823529411763,16.18401128235294,55.0,Greed
2024-01-23,414518.93000000005,45,-369.2447299999998,0.24444444444444444,-8.20543844444444,50.0,Neutral
2024-01-24,965084.59,68,-2808.353815,0.14705882352941177,-41.29932080882353,48.0,Neutral
2024-01-25,66566.13,6,-3093.6293849999997,0.0,-515.6048975,52.0,Neutral
2024-01-26,11773.21,5,90.2,0.2,18.04,49.0,Neutral
2024-01-28,18109.03,11,-2478.06972,0.0,-225.27906545454545,54.0,Neutral
2024-01-29,414208.18,74,486.562542,0.6081081081081081,6.5751694864864865,55.0,Greed
2024-01-30,401011.38,49,-173.65419100000003,0.10204081632653061,-3.5439630816326537,61.0,Greed
2024-01-31,6305647.13,859,-799.840817,0.2689173457508731,-0.93113017112922,60.0,Greed
2024-02-01,2008.18,6,0.0,0.0,0.0,63.0,Greed
2024-02-02,474278.43,42,456.423473,0.30952380952380953,10.867225547619048,63.0,Greed
2024-02-03,603820.0,56,223.30918699999998,0.10714285714285714,3.9876640535714283,60.0,Greed
2024-02-04,203187.53,35,47.62389499999999,0.2571428571428571,1.360682714285714,60.0,Greed
2024-02-05,770198.26,72,-33.45419400000003,0.19444444444444445,-0.4646415833333337,60.0,Greed
2024-02-06,8047153.41,1088,-215.615907,0.1645220588235294,-0.19817638511029412,64.0,Greed
